Model,Year,Price,Additions,Previous Owners,Offered,Payment Method,Number of Passengers,Car Mileage,Engine Power,Glass,Transmission Type,Car License,Car Origin,Fuel Type,Car Color,Third Party,Comprehensive (Vehicle Body),Total Insurance
سكودا فابيا,2012,55000,"مُكيّف, مسجل CD, جنطات مغنيسيوم",,للبيع فقط,نقدا فقط,,,1200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
كيا برايد,2014,66000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,79000,1400,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فيراني,1035,1155,2190
بيجو بارتنر,2011,55000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد ثانيه,للبيع فقط,نقدا فقط,,000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أحمر,1340,1000,2340
فولكسفاجن كادي,2014,100000,"مُكيّف, إغلاق مركزي, مسجل CD",,للبيع أو التبديل,إمكانية التقسيط,6+1,150 الف,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,سكني,1340,1751,3090
هوندا اكورد,1997,2600,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,4+١,210000,1800,الكتروني,اوتوماتيك,نمرة صفراء,خصوصي,بنزين,ذهبي,670,500,1170
اوبل اسكونا,1967,1800,"مسجل CD, جنطات مغنيسيوم",2,للبيع فقط,إمكانية التقسيط,4+1,1,1200,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي سانتافيه,2008,77000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,6+1,20000,2200,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أزرق سماوي,1690,1348,3038
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي الانترا,1999,20000,"إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",ثالثة,للبيع فقط,نقدا فقط,4+1,00000000000000000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض,670,500,1170
هونداي i30,2010,61000,"مُكيّف, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,4+1,113000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رمادي,1340,1068,2408
فورد فيستا,2014,47000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",0,للتبديل فقط,نقدا فقط,4+1,33000,1250,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أزرق,1035,1000,2035
هونداي توسان,2014,93000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1340,1628,2968
سكودا رابيد,2014,71000,"مُكيّف, جهاز إنذار, مسجل CD",غير منمر استيراد الماني,للبيع فقط,نقدا فقط,4+1,,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,سكني,1340,1243,2583
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي i40,2011,110000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع أو التبديل,إمكانية التقسيط,4+1,,1800,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1926,3265
سكودا اوكتافيا,2014,90000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",,للبيع أو التبديل,نقدا فقط,,,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,عدة الوان,1340,1576,2915
كيا فورتي,2011,67000,"مُكيّف, إغلاق مركزي, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,"122,000",1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1173,2513
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
اوبل كاديت,1982,17500,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",00,للبيع فقط,نقدا فقط,4+1,00000000000000,1300,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,517,500,1017
هونداي اكسنت,2016,67000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع أو التبديل,إمكانية التقسيط,4+1,22000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فيراني,1035,1173,2208
فولكسفاجن بولو,2012,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",2,للبيع أو التبديل,نقدا فقط,4+1,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1050,2085
فولكسفاجن كادي,2011,95000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,6+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1663,3003
دايو لانوس,1999,30000,,3,للبيع فقط,نقدا فقط,4+1,,1500,يدوي,عادي,فلسطينية,خصوصي,بنزين,أزرق,517,500,1017
فولكسفاجن كادي,2012,115000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع فقط,إمكانية التقسيط,6+1,150000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,فضي,1340,2013,3353
هونداي توسان,2014,109000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",غير منمرة,للبيع أو التبديل,إمكانية التقسيط,4+1,29000,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,1908,3248
هونداي افانتي,2006,42000,,2,للبيع أو التبديل,إمكانية التقسيط,,123457,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1000,2340
فولكسفاجن توران,2011,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثانيه,للبيع فقط,نقدا فقط,٧,٢٥٠٠٠٠,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,1488,2828
شفروليه اوبترا,2006,32500,"إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",3,للبيع أو التبديل,نقدا فقط,4+1,140000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1340,1000,2340
اوبل كورسا,2003,33500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,122000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1035,1000,2035
فولكسفاجن توران,2012,97000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,6+1,,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رصاصي,1340,1698,3038
هونداي توسان,2010,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,فيراني,1340,1488,2828
فورد فيستا,2012,45000,"مُكيّف, إغلاق مركزي, مسجل CD, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,4+1,78000,1250,الكتروني,عادي,فلسطينية,خصوصي,بنزين,بترولي,1035,1000,2035
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
دايو رايسر,1996,21000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,إمكانية التقسيط,4+1,00000,1500,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,517,500,1017
رينو R9,1983,11000,"مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع أو التبديل,إمكانية التقسيط,,,1100,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,517,500,1017
فورد ترانزيت,2000,45000,"مسجل CD, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,"7,+ 1",,2500,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض,845,500,1345
مرسيدس فيتو,1999,20000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,رصاصي,670,500,1170
اوبل كورسا,2015,56500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",أولى,للبيع فقط,نقدا فقط,5+1,22000,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,رمادي,1035,1000,2035
جييب شيروكي,2003,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,4+1,130000,3700,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,رصاصي,1690,1488,3178
رينو R9,1982,10000,,٨,للبيع فقط,نقدا فقط,,,1235,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
اوبل كورسا,2013,51900,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,إمكانية التقسيط,,,1400,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1035,1000,2035
فولكسفاجن كرافيل,2008,75000,"مُكيّف, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولا,للبيع فقط,نقدا فقط,7:1,,2500,الكتروني,عادي,فلسطينية,عمومي,ديزل,برتقالي,1690,1313,3003
هونداي جيتس,2007,40000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد ثالثة,للبيع فقط,نقدا فقط,4+1,900000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1340,1000,2340
سكودا اوكتافيا,2015,113000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع أو التبديل,إمكانية التقسيط,4+1,7,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,1978,3318
فولكسفاجن بولو,1997,25000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",يد ثالثة,للبيع أو التبديل,نقدا فقط,4+1,00000000,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,670,500,1170
فولكسفاجن جولف,2007,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",ثانية,للبيع فقط,نقدا فقط,,,1600,الكتروني,عادي,فلسطينية,خصوصي,بنزين,فضي,1340,1050,2390
فولكسفاجن جولف,2012,100000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد أولى,للبيع فقط,نقدا فقط,4+1,65000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1035,1751,2785
سكودا اوكتافيا,2001,37000,"مُكيّف, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد",يد سادسة,للبيع فقط,نقدا فقط,4+1,_,1900,الكتروني,عادي,فلسطينية,عمومي,ديزل,أخضر,670,500,1170
فولكسفاجن باسات,2010,85000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",1,للبيع أو التبديل,نقدا فقط,4+1,190,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,1488,2828
فولكسفاجن ترانسبورتر,1999,37000,"مسجل CD, فرش جلد",,للبيع أو التبديل,إمكانية التقسيط,1+7,,2400,الكتروني,عادي,فلسطينية,عمومي,ديزل,أبيض عاجي,845,500,1345
اوبل كاديت,1986,23000,"إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم",,للبيع فقط,إمكانية التقسيط,4+1,,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,أحمر,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
بيجو بارتنر,2012,69000,"مُكيّف, إغلاق مركزي, مسجل CD, فرش جلد, وسادة حماية هوائية",يد ثانية,للبيع فقط,نقدا فقط,4+1,-,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,رمادي,1340,1208,2548
اوبل كاديت,1984,13000,"إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",5,للبيع فقط,نقدا فقط,4+1,184000,1400,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
اوبل اسكونا,1984,6000,"جنطات مغنيسيوم, فرش جلد",5,للبيع فقط,نقدا فقط,5+1,200,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض,517,500,1017
اوبل زافيرا,2004,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",3,للبيع فقط,نقدا فقط,6+1,,2000,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أسود,1340,1000,2340
سكودا سوبيرب,2014,123999,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",,للبيع أو التبديل,نقدا فقط,,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود ميتالك,1340,2170,3510
كيا بيكانتو,2015,59000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",اولى,للبيع أو التبديل,إمكانية التقسيط,4+1,30000,1000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,935,1033,1968
فولكسفاجن بولو,2015,84000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,نقدا فقط,,,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1471,2505
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فورد فوكس,2002,5500,"مُكيّف, إغلاق مركزي, وسادة حماية هوائية",يد ثالثة,للبيع فقط,نقدا فقط,4+1,295000,1600,الكتروني,اوتوماتيك,نمرة صفراء,خصوصي,بنزين,أبيض,670,500,1170
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,2015,108000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",صفر,للبيع فقط,نقدا فقط,6+1,60000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,بني,1340,1891,3230
دايو نوبيرا,1997,22000,"مُكيّف, إغلاق مركزي, مسجل CD",9,للبيع أو التبديل,إمكانية التقسيط,4+1,143212,1500,الكتروني,عادي,فلسطينية,خصوصي,بنزين,خمري,517,500,1017
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
بي ام دبليو X3,2014,215000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع أو التبديل,نقدا فقط,4+1,43000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أسود,1340,3763,5103
فورد فيستا,2013,67000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,71,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1340,1173,2513
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
شفروليه افيو,2009,45000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",,للبيع فقط,إمكانية التقسيط,4+1,160000,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود,1035,1000,2035
هونداي توسان,2006,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,أبيض,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
دراجة نارية دراجه سييم,2016,11500,,0,للبيع أو التبديل,إمكانية التقسيط,,4000,125,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أزرق سماوي,935,1000,1935
فولكسفاجن جولف,1982,4000,,,للبيع فقط,نقدا فقط,,,1300,الكتروني,عادي,فلسطينية,تأجير,بنزين,خمري,517,500,1017
هونداي توسان,2008,66000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, وسادة حماية هوائية",2,للبيع فقط,نقدا فقط,5+1,121000,2000,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,سكني,1340,1155,2495
هونداي اكسنت,2015,68000,"مُكيّف, إغلاق مركزي, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",0,للبيع فقط,نقدا فقط,,9900,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,سكني,1035,1190,2225
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,2016,95000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",0,للبيع فقط,إمكانية التقسيط,4+1,56000,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض,1340,1663,3003
رينو R9,1983,7000,,,للبيع فقط,إمكانية التقسيط,4+1,,1100,يدوي,عادي,فلسطينية,خصوصي,بنزين,كحلي,517,500,1017
بيجو بارتنر,2011,57000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,٤+١,٢٦٠,1600,الكتروني,عادي,فلسطينية,خصوصي,ديزل,أبيض عاجي,1340,1000,2340
بيجو 305,1984,7500,"مسجل CD, فرش جلد",0000,للبيع فقط,نقدا فقط,4+1,00000,1300,يدوي,عادي,فلسطينية,خصوصي,بنزين,أبيض عاجي,517,500,1017
ستروين كسارا,2000,1900,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فرش جلد, وسادة حماية هوائية",يد اولى,للبيع فقط,نقدا فقط,5+1,0000,1600,الكتروني,اوتوماتيك,نمرة صفراء,خصوصي,بنزين,سكني,670,500,1170
هونداي كليك,2007,42000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, وسادة حماية هوائية",1,للبيع فقط,نقدا فقط,4+1,80 الف,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض,1035,1000,2035
بي ام دبليو 520,1994,25000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",5,للبيع فقط,إمكانية التقسيط,4+1,200000,2000,الكتروني,عادي,فلسطينية,خصوصي,بنزين,كحلي,670,500,1170
هونداي i25,2014,60000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",1,للبيع أو التبديل,نقدا فقط,4+١,60,1400,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,أسود ميتالك,1035,1050,2085
بيجو 307,2007,38500,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, وسادة حماية هوائية",5,للبيع أو التبديل,نقدا فقط,4+1,140000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,بنزين,فضي,1340,1000,2340
معرض السيارات,فلسطين,,,,,,,,,,,,,,,,,
هونداي i30,2008,55000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",,للبيع فقط,نقدا فقط,4+1,124000,1600,الكتروني,اوتوماتيك,فلسطينية,خصوصي,ديزل,رصاصي,1340,1000,2340
فولكسفاجن CC,2010,87000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, فتحة سقف, جنطات مغنيسيوم, فرش جلد, وسادة حماية هوائية",2,للبيع أو التبديل,إمكانية التقسيط,5+1,120000قابل لزيادة,2000,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,بنزين,أبيض عاجي,1340,1523,2863
كيا سورينتو,2013,120000,"مُكيّف, إغلاق مركزي, جهاز إنذار, مسجل CD, جنطات مغنيسيوم, فرش جلد",,للبيع فقط,نقدا فقط,6+1,100000,2200,الكتروني,نصف اوتوماتيك,فلسطينية,خصوصي,ديزل,فضي,1690,2100,3790
